dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.373,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,30.1609,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,1.7721,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,25.6736,1000.0,1248.6761,0.800848,0.981049,True
15,1034,LLL,1.5571,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,20.6141,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,5.1464,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,73.2076,1000.0,1564.8487,0.639039,0.981726,True
20,1017,LLL,3.0416,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,71.1872,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,5.084,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,70.2528,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,11.4686,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,188.4976,1802.7756,1884.877,0.956442,1.005856,True
25,1017,LLL,13.0561,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,160.175,1000.0,1884.877,0.530539,0.982422,True
25,1034,LLL,9.126,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,168.3447,1000.0,1884.877,0.530539,0.982422,True
