block_id,type,status,d_gue,d_poi,outlier_score,radius_var,sphericity,laplacian_energy
gue_21042_0008,gue,running,0.765712,2.242938,-1.477226,0.49733576,0.06274277,0.0004617485
gue_21042_0005,gue,running,0.716345,2.141074,-1.424728,0.49062037,0.06485664,0.0004905426
poisson_2042_0005,poisson,running,2.999647,1.597312,1.402335,0.5023104,0.09706608,0.0004289467
poisson_22042_0005,poisson,running,2.227704,0.871242,1.356462,0.4814992,0.09057459,0.0003752559
poisson_2042_0004,poisson,running,2.351851,1.020685,1.331166,0.49798292,0.09117902,0.0004693032
gue_21042_0000,gue,running,1.165733,2.481671,-1.315938,0.48158506,0.06294353,0.000469621
poisson_22042_0000,poisson,running,2.919267,1.609789,1.309479,0.49182421,0.09559176,0.0003724157
poisson_22042_0009,poisson,running,3.651561,2.352547,1.299014,0.45940089,0.10199321,0.0003651934
gue_11042_0009,gue,running,1.324887,2.601075,-1.276188,0.50234133,0.05846001,0.0004278507
gue_11042_0003,gue,running,1.156269,2.297212,-1.140944,0.48343328,0.06670245,0.0004944897
gue_1042_0008,gue,running,1.442207,2.574353,-1.132147,0.48160124,0.0616857,0.0004568546
poisson_2042_0001,poisson,running,3.12853,2.025877,1.102653,0.47767317,0.09231213,0.0003513136
gue_1042_0000,gue,running,1.094302,2.133135,-1.038833,0.49434498,0.06554009,0.0004482067
poisson_12042_0001,poisson,running,3.136319,2.115088,1.021231,0.5241071,0.09186033,0.0003091347
poisson_2042_0003,poisson,running,2.435811,1.430206,1.005604,0.47352079,0.09133073,0.0004045893
poisson_2042_0008,poisson,running,2.554047,1.553405,1.000641,0.49499425,0.0864104,0.0003101968
poisson_2042_0002,poisson,running,3.276094,2.315689,0.960404,0.46046567,0.09193806,0.00032641
gue_21042_0003,gue,running,2.3251,3.279705,-0.954604,0.46228576,0.06351007,0.0005945459
gue_21042_0006,gue,running,2.953654,3.843718,-0.890063,0.50672138,0.06441773,0.0007611546
poisson_2042_0007,poisson,running,2.814125,1.9757,0.838425,0.4647617,0.09445713,0.0004728682
poisson_12042_0006,poisson,running,2.632696,1.794801,0.837895,0.51341957,0.08432209,0.0003515271
gue_1042_0005,gue,running,1.80982,2.624411,-0.814591,0.52685565,0.06236082,0.0003884115
gue_11042_0007,gue,running,4.342001,5.133006,-0.791005,0.47964162,0.06197398,0.0007890894
gue_1042_0009,gue,running,2.09181,2.846131,-0.754321,0.48369595,0.07079818,0.0006253774
poisson_22042_0008,poisson,running,2.053119,1.304059,0.74906,0.49322596,0.08115916,0.0003258577
gue_1042_0002,gue,running,2.319424,3.067454,-0.74803,0.51761484,0.06733335,0.0005405609
poisson_22042_0003,poisson,running,1.447658,2.191244,-0.743587,0.52145201,0.06891774,0.0004683446
gue_21042_0007,gue,running,1.71222,2.430412,-0.718192,0.50346667,0.06655488,0.0004438435
gue_21042_0002,gue,running,2.821602,3.53243,-0.710828,0.46000114,0.06903161,0.0006625823
poisson_22042_0001,poisson,running,1.545918,0.883831,0.662087,0.48865378,0.08419231,0.0005018995
