block_id,type,intensity,r_mean,ks_gue,ks_poi,ks_margin,vote
poisson_90000_0025,poisson,raw,0.381265,0.403141,0.058103,-0.345038,POISSON
poisson_90000_0029,poisson,raw,0.343307,0.447802,0.103015,-0.344786,POISSON
poisson_90000_0029,poisson,soft,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0029,poisson,mid,0.294546,0.538254,0.193467,-0.344786,POISSON
zeta_42_0021,zeta,raw,0.607797,0.042839,0.387437,0.344598,GUE
poisson_90000_0049,poisson,raw,0.35043,0.419221,0.074686,-0.344535,POISSON
zeta_42_0035,zeta,raw,0.600296,0.055842,0.399623,0.343781,GUE
gue_80000_0021,gue,raw,0.60579,0.046294,0.390013,0.343719,GUE
poisson_90000_0009,poisson,raw,0.366704,0.409045,0.065389,-0.343656,POISSON
poisson_90000_0010,poisson,soft,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0010,poisson,mid,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0018,poisson,raw,0.34461,0.445226,0.102136,-0.34309,POISSON
zeta_42_0017,zeta,raw,0.622537,0.071608,0.414573,0.342965,GUE
zeta_42_0017,zeta,soft,0.621787,0.126884,0.469849,0.342965,GUE
zeta_42_0017,zeta,mid,0.621787,0.126884,0.469849,0.342965,GUE
poisson_90000_0018,poisson,soft,0.308673,0.529523,0.186997,-0.342525,POISSON
poisson_90000_0018,poisson,mid,0.308673,0.529523,0.186997,-0.342525,POISSON
zeta_42_0021,zeta,soft,0.59925,0.087626,0.429837,0.342211,GUE
zeta_42_0021,zeta,mid,0.59925,0.087626,0.429837,0.342211,GUE
zeta_42_0021,zeta,strong,0.600801,0.129962,0.472048,0.342085,GUE
